Inventory_Name,Area,Unit_Proses,Tipe,Material,Nilai,Satuan,Kategori
Palm Oil_Mill,Bumitama Gunajaya,Boiler,Input,Acrylate polymer,103.00,kg,Raw Material
Oil & Gas,Adi Sucipto,Pompa,Input,Air,13.28,m3,Material
Oil & Gas,Adi Sucipto,Mobil Tangki,Output,air limpasan,"31,000.00",kg,Emisi
Oil & Gas,Hasanudin,Storage Tank,Output,air limpasan,96.10,m3,Emisi ke air
Oil & Gas,Adi Sucipto,Refueller,Input,air limpasan,"31,000.00",kg,Lainnya
Oil & Gas,Adi Sucipto,Oil Catcher,Input,air limpasan,"31,000.00",kg,Material
Oil & Gas,Adi Sucipto,Oil Catcher,Input,air limpasan,"450,000.00",kg,Material
Oil & Gas,Adi Sucipto,Oil Catcher,Input,air limpasan,"83,850.00",kg,Material
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,64.50,m3,Material
Oil & Gas,Maos,Oil Catcher,Input,air limpasan,753.00,kg,Material
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,20.20,m3,Material
Oil & Gas,Maos,Oil Catcher,Input,air limpasan,753.00,kg,Material
Oil & Gas,Ahmad Yani,Oil Catcher,Input,air limpasan,0.34,m3,Material
Oil & Gas,Adi Sumarno,Oil Catcher,Input,air limpasan,23.18,m3,Material
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,23.50,m3,Material
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,96.10,m3,Material
Oil & Gas,Maos,Oil Catcher,Input,air limpasan,753.00,kg,Material
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,187.40,m3,Material
Oil & Gas,Adi Sucipto,Oil Catcher,Input,air limpasan,"47,000.00",kg,Material
Oil & Gas,Ahmad Yani,Refueller,Output,air limpasan,0.34,kg,Material
Oil & Gas,Adi Sumarno,Refueller,Output,air limpasan,23.18,kg,Material
Oil & Gas,Bitung,Filling Shed Pump,Output,air limpasan,"13,77",m3,Waste
Oil & Gas,Hasanudin,Filter Separator,Output,air limpasan,64.45,m3,Waste
Oil & Gas,Hasanudin,Penerimaan,Output,air limpasan,20.23,m3,Waste
Oil & Gas,Makasar,Perkantoran,Output,air limpasan,"1,840.00",m3,Waste
Oil & Gas,Adi Sucipto,Perkantoran,Output,air limpasan,"47,000.00",kg,Waste
Oil & Gas,Cilacap,Pompa,Output,air limpasan,"291,200.00",kg,Waste
Oil & Gas,Hasanudin,Pompa,Output,air limpasan,24.27,m3,Waste
Oil & Gas,Makasar,Pompa,Output,air limpasan,284.00,m3,Waste
Oil & Gas,Bitung,Pompa,Output,air limpasan,"13,77",m3,Waste
Oil & Gas,Hasanudin,Refueller,Output,air limpasan,23.45,m3,Waste
Oil & Gas,Adi Sucipto,Refueller,Output,air limpasan,"31,000.00",kg,Waste
Oil & Gas,Cilacap,Storage Tank,Output,air limpasan,"360,800.00",kg,Waste
Oil & Gas,Makasar,Storage Tank,Output,air limpasan,"1,160.00",m3,Waste
Oil & Gas,Bitung,Storage Tank,Output,air limpasan,"18,06",m3,Waste
Oil & Gas,Adi Sucipto,Storage Tank,Output,air limpasan,83.85,m3,Waste
Oil & Gas,Maos,Storage Tank,Output,air limpasan,753.00,kg,Waste
Oil & Gas,Adi Sucipto,Use Stage,Output,air limpasan,"47,000.00",kg,Waste
Oil & Gas,Adi Sucipto,Storage Tank,Input,air limpasan,"450,000.00",kg,Lainnya
Oil & Gas,Hasanudin,Oil Catcher,Input,air limpasan,24.30,m3,Material
Oil & Gas,Maos,Oil Catcher,Input,air limpasan,753.00,kg,Material
Oil & Gas,Adi Sucipto,Perkantoran,Input,Air Perkantoran,3.71,m3,Energi
Oil & Gas,Adi Sucipto,Perkantoran,Output,Air sisa cuci refueller,"327,700.00",kg,Waste
Oil & Gas,Adi Sucipto,Use Stage,Output,Air sisa cuci refueller,"327,700.00",kg,Waste
Palm Oil_Mill,Asian Agri,WTP,Input,Alum/tawas (Al2(SO4)3),19.805.00,kg,Raw material
Oil & Gas,Hasanudin,Kolam Limbah,Output,Ammonia,0.38,kg,Emisi ke air
Oil & Gas,Ahmad Yani,Kolam Limbah,Output,Ammonia,0.00,kg,Waste
Oil & Gas,Maos,Kolam Limbah,Output,Ammonia,0.00,kg,Waste
Oil & Gas,Adi Sumarno,Kolam Limbah,Output,Ammonia,0.00,kg,Waste
Palm Oil_Mill,Asian Agri,Boiler,Output,Ammonia,80.00,kg,Emission
Palm Oil_Mill,Asian Agri,FFB,Input,Ammonium Sulfate (ZA),4.963.466.19,kg,Fertilizer
Palm Oil_Mill,Asian Agri,FFB,Input,Ammonium Sulfate (ZA),87.198.54,kg,Fertilizer
Palm Oil_Refinery,Apical,WTP,Input,Anti Scallant N-5005,9.82,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Anti Scallant PC-191T,895.00,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Antifoam,0.82,m3,BBM
Oil & Gas,Ahmad Yani,Pompa,Input,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Pompa,Input,BBM,"5,300.67",m3,Material
Oil & Gas,Ahmad Yani,Storage Tank,Output,BBM,"12,168.00",m3,Material
Oil & Gas,Adi Sumarno,Storage Tank,Output,BBM,"5,300.67",m3,Material
Oil & Gas,Adi Sucipto,Pompa,Input,BBM,"7,092,040.00",m3,Material
Oil & Gas,Adi Sucipto,Storage Tank,Output,BBM,"7,092,040.00",m3,Material
Palm Oil_Mill,Asian Agri,FFB,Input,Basta,3.29,m3,Pesticide
Oil & Gas,Pare Pare,Genset,Input,BBM,600.00,m3,Energi
Oil & Gas,Hasanudin,Bridger,Input,BBM,"15,890.00",m3,Material
Oil & Gas,Hasanudin,Bridger,Output,BBM,"15,890.00",m3,Material
Oil & Gas,Adi Sucipto,Filter Separator,Input,BBM,"38,619.91",m3,Material
Oil & Gas,Ahmad Yani,Filter Separator,Output,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Filter Separator,Output,BBM,"5,300.67",m3,Material
Oil & Gas,Ahmad Yani,Filter Separator,Input,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Filter Separator,Input,BBM,"5,300.67",m3,Material
Oil & Gas,Adi Sucipto,Filter Separator,Output,BBM,"7,053,330.00",m3,Material
Oil & Gas,Adi Sucipto,Filter Separator,Input,BBM,"7,092,040.00",m3,Material
Oil & Gas,Hasanudin,Filter Separator,Output,BBM,"171,031.00",m3,Material
Oil & Gas,Adi Sucipto,Mobil Tangki,Input,BBM,"1,972,058.08",m3,Material
Oil & Gas,Adi Sucipto,Mobil Tangki,Output,BBM,"1,972,058.08",m3,Material
Oil & Gas,Maos,Mobil Tangki,Output,BBM,"1,330,000,000.00",kg,Material
Oil & Gas,Adi Sucipto,Penerimaan,Output,BBM,"6,720.00",m3,Material
Oil & Gas,Adi Sucipto,Penerimaan,Input,BBM,"6,720.00",m3,Material
Oil & Gas,Maos,Penerimaan,Input,BBM,"1,340,000,000.00",kg,Material
Oil & Gas,Maos,Penerimaan,Output,BBM,"1,340,000,000.00",kg,Material
Oil & Gas,Hasanudin,Penerimaan,Input,BBM,"170,064.00",m3,Material
Oil & Gas,Maos,Pompa,Output,BBM,"1,330,000,000.00",kg,Material
Oil & Gas,Adi Sucipto,Pompa,Output,BBM,"1,972,058.08",m3,Material
Oil & Gas,Adi Sumarno,Pompa,Output,BBM,"5,232.00",m3,Material
Oil & Gas,Ahmad Yani,Pompa,Output,BBM,"12,168.00",m3,Material
Oil & Gas,Adi Sumarno,Pompa,Input,BBM,"5,232.00",m3,Material
Oil & Gas,Ahmad Yani,Pompa,Input,BBM,"12,168.00",m3,Material
Oil & Gas,Ahmad Yani,Pompa,Output,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Pompa,Output,BBM,"5,300.67",m3,Material
Oil & Gas,Adi Sucipto,Pompa,Output,BBM,"7,092,040.00",m3,Material
Oil & Gas,Hasanudin,Pompa,Input,BBM,"171,031.00",m3,Material
Oil & Gas,Ahmad Yani,Refueller,Input,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Refueller,Input,BBM,"5,300.67",m3,Material
Oil & Gas,Ahmad Yani,Refueller,Output,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Refueller,Output,BBM,"5,300.67",m3,Material
Oil & Gas,Adi Sucipto,Refueller,Input,BBM,"7,053,330.00",m3,Material
Oil & Gas,Adi Sucipto,Refueller,Output,BBM,"7,053,330.00",m3,Material
Oil & Gas,Hasanudin,Refueller,Input,BBM,"155,140.00",m3,Material
Oil & Gas,Hasanudin,Refueller,Output,BBM,"155,140.00",m3,Material
Oil & Gas,Adi Sucipto,Storage Tank,Input,BBM,"372,107.51",m3,Material
Oil & Gas,Ahmad Yani,Storage Tank,Input,BBM,"126,251.00",m3,Material
Oil & Gas,Adi Sumarno,Storage Tank,Input,BBM,143.18,m3,Material
Oil & Gas,Ahmad Yani,Storage Tank,Input,BBM,"12,168.00",m3,Material
Oil & Gas,Adi Sumarno,Storage Tank,Input,BBM,"5,232.00",m3,Material
Oil & Gas,Adi Sucipto,Storage Tank,Input,BBM,"6,720.00",m3,Material
Oil & Gas,Adi Sucipto,Storage Tank,Input,BBM,"34,577.78",m3,Material
Oil & Gas,Maos,Storage Tank,Input,BBM,"1,340,000,000.00",kg,Material
Oil & Gas,Adi Sucipto,Storage Tank,Input,BBM,"1,937,480.30",m3,Material
Oil & Gas,Maos,Storage Tank,Input,BBM,"9,710,000.00",kg,Material
Oil & Gas,Maos,Storage Tank,Output,BBM,"1,330,000,000.00",kg,Material
Oil & Gas,Hasanudin,Storage Tank,Input,BBM,"170,064.00",m3,Material
Oil & Gas,Hasanudin,Storage Tank,Output,BBM,"170,064.00",m3,Material
Oil & Gas,Hasanudin,Storage Tank,Input,BBM,"6,552.00",m3,Material
Oil & Gas,Ahmad Yani,Use Stage,Input,BBM,"12,294,251.00",m3,Material
Oil & Gas,Adi Sumarno,Use Stage,Input,BBM,"5,300.67",m3,Material
Oil & Gas,Ahmad Yani,Use Stage,Output,BBM,"12,294,251.00",m3,Material
