Inventory_Name,Area,Unit_Proses,Tipe,Material,Nilai,Satuan,Kategori
Oil & Gas,Bitung,Oil Catcher,Output,Minyak & Lemak,0.03,kg,Emisi ke air
Oil & Gas,Bitung,Storage Tank,Output,Refinery sludge,"21,514.30",kg,Emisi ke air
Oil & Gas,Bitung,Oil Catcher,Output,TOC,0.12,kg,Emisi ke air
Oil & Gas,Bitung,Pompa,Output,waste,15.00,kg,Emisi ke air
Oil & Gas,Bitung,Mobil Tangki,Output,waste,50.00,kg,Emisi ke air
Oil & Gas,Bitung,Perkantoran,Output,waste,"3,156.00",kg,Emisi ke air
Oil & Gas,Bitung,Oil Catcher,Output,Waste Water,45.60,m3,Emisi ke air
Oil & Gas,Bitung,Use Stage,Output,Carbon Dioxide (CO2),"4,020,000,000,000.00",kg,Emisi Ke Udara
Oil & Gas,Bitung,Genset,Output,Carbon Dioxide (CO2),"88,451.22",kg,Emisi Ke Udara
Oil & Gas,Bitung,Use Stage,Output,Dinitrogen Monoxide (N2O),"40,700,000.00",kg,Emisi Ke Udara
Oil & Gas,Bitung,Use Stage,Output,Methane (CH4),"284,000,000.00",kg,Emisi Ke Udara
Oil & Gas,Bitung,Genset,Output,Nitrogen Oxides (NOx),573.34,kg,Emisi Ke Udara
Oil & Gas,Bitung,Genset,Output,Particulates (PM) 10,40.30,kg,Emisi Ke Udara
Oil & Gas,Bitung,Genset,Output,Sulfur Oxides (SOx),37.70,kg,Emisi Ke Udara
Oil & Gas,Bitung,Storage Tank,Output,VOC,"9,707.20",kg,Emisi Ke Udara
Oil & Gas,Bitung,Genset,Input,Diesel,"6,237.00",kg,Energi
Oil & Gas,Bitung,Pompa,Input,electricity,"1,860.00",kWh,Energi
Oil & Gas,Bitung,Perkantoran,Input,electricity,"3,720.00",kWh,Energi
Oil & Gas,Bitung,Pompa,Input,electricity,"13,020.00",kWh,Energi
Oil & Gas,Bitung,Perkantoran,Input,electricity,"16,934.20",kWh,Energi
Oil & Gas,Bitung,Pompa,Input,electricity,"59,269.70",kWh,Energi
Oil & Gas,Bitung,Pompa,Input,electricity,"8,467.10",kWh,Energi
Oil & Gas,Bitung,Perkantoran,Input,Feed Water,"1,748.00",m3,Material
Oil & Gas,Bitung,Use Stage,Output,BBM,"1,932,423.00",m3,Product
Oil & Gas,Bitung,Penerimaan,Input,BBM,"1,463,045.00",m3,Raw Material
Oil & Gas,Bitung,Pompa,Output,Air Limpasan,13.77,m3,Waste
Oil & Gas,Bitung,Pompa,Output,Air Limpasan,13.77,m3,Waste
Oil & Gas,Bitung,Storage Tank,Output,Air Limpasan,18.06,m3,Waste
Oil & Gas,Bitung,Genset,Output,Waste Water,20.00,kg,Waste
Oil & Gas,Bitung,Mobil Tangki,Output,Waste Water,20.00,kg,Waste
Oil & Gas,Bitung,Perkantoran,Output,Waste Water,"1,748.00",m3,Waste
Oil & Gas,Boyolali,Kolam Limbah,Input,chlorine transported,"10,400.00",kg,Bahan Kimia
Oil & Gas,Boyolali,Kolam Limbah,Input,chlorine transported,"10,400.00",kg,Bahan Kimia
Oil & Gas,Boyolali,WTP,Output,BOD,0.40,kg,Emisi ke air
Oil & Gas,Boyolali,WTP,Output,COD,1.24,kg,Emisi ke air
Oil & Gas,Boyolali,Oil Catcher,Output,Minyak & Lemak,0.04,kg,Emisi ke air
Oil & Gas,Boyolali,Oil Catcher,Output,TOC,0.17,kg,Emisi ke air
Oil & Gas,Boyolali,Oil Catcher,Output,Waste Water,375.00,kg,Emisi ke air
Oil & Gas,Boyolali,Kolam Limbah,Output,Waste Water,575.00,kg,Emisi ke air
Oil & Gas,Boyolali,Genset,Output,Carbon Dioxide (CO2),25.20,kg,Emisi Ke Udara
Oil & Gas,Boyolali,Use Stage,Output,Carbon Dioxide (CO2),"3,660,000,000.00",kg,Emisi Ke Udara
Oil & Gas,Boyolali,Genset,Output,Dinitrogen Monoxide (N2O),0.00,kg,Emisi Ke Udara
Oil & Gas,Boyolali,Use Stage,Output,Dinitrogen Monoxide (N2O),"56,900.00",kg,Emisi Ke Udara
Oil & Gas,Boyolali,Use Stage,Output,Methane (CH4),"179,000.00",kg,Emisi Ke Udara
Oil & Gas,Boyolali,Genset,Output,Nitrogen Oxide (NO),0.70,kg,Emisi Ke Udara
Oil & Gas,Boyolali,Genset,Output,Particulate,0.10,kg,Emisi Ke Udara
Oil & Gas,Boyolali,Genset,Output,Particulate,0.10,kg,Emisi Ke Udara
Oil & Gas,Boyolali,Storage Tank,Output,VOC,"1,900,000.00",kg,Emisi Ke Udara
Oil & Gas,Boyolali,Storage Tank,Output,VOC,"1,900,000.00",kg,Emisi Ke Udara
Oil & Gas,Boyolali,Genset,Input,Diesel,1.49,m3,Energi
Oil & Gas,Boyolali,Genset,Input,Diesel,1.49,m3,Energi
Oil & Gas,Boyolali,Perkantoran,Input,electricity,"5,760.00",kWh,Energi
Oil & Gas,Boyolali,Pompa,Input,electricity,"13,400.00",kWh,Energi
Oil & Gas,Boyolali,Perkantoran,Input,electricity,"103,000.00",kWh,Energi
Oil & Gas,Boyolali,Pompa,Input,electricity,"241,000.00",kWh,Energi
Oil & Gas,Boyolali,Perkantoran,Input,Feed Water,512.00,m3,Material
Oil & Gas,Boyolali,Perkantoran,Input,Feed Water,512.00,m3,Material
Oil & Gas,Boyolali,Perkantoran,Input,Feed Water,512.00,m3,Material
Oil & Gas,Boyolali,Perkantoran,Input,Feed Water,512.00,m3,Material
Oil & Gas,Boyolali,Mobil Tangki,Output,BBM,"1,720,000.00",m3,Product
Oil & Gas,Boyolali,Storage Tank,Input,BBM,"1,430,000.00",m3,Raw Material
Oil & Gas,Boyolali,Storage Tank,Input,BBM,"1,430,000.00",m3,Raw Material
Oil & Gas,Boyolali,Storage Tank,Input,BBM,"1,430,000.00",m3,Raw Material
Oil & Gas,Boyolali,Perkantoran,Output,Kertas bekas,440.00,kg,Waste
Oil & Gas,Boyolali,Perkantoran,Output,waste,"87,200.00",kg,Waste
Oil & Gas,Boyolali,Perkantoran,Output,waste,"87,200.00",kg,Waste
Oil & Gas,Boyolali,Perkantoran,Output,waste,"1,840,000.00",kg,Waste
