Inventory_Name,Area,Unit_Proses,Tipe,Material,Nilai,Satuan,Kategori
Palm Oil_Refinery,Apical,WTP,Input,Anti Scallant N-5005,9.82,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Anti Scallant PC-191T,895.00,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Antifoam,0.82,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Biodicde Nalco 3935,10.33,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Cartridge Filter,6.19,pcs,BBM
Palm Oil_Refinery,Apical,WTP,Input,Caustic Liquid 48%,0.01,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Caustic Soda Flake 98%,92.85,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Caustic soda liquid,99.16,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,chemicals,6.56,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,chemicals,816.00,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,chemicals,879.00,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Citric Acid,4.98,kg,BBM
Palm Oil_Refinery,Apical,Power Plant,Input,Coal,203.583.907,kg,BBM
Palm Oil_Refinery,Apical,Power Plant,Input,Diesel,0.14,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,electricity,1.451.607,kWh,Energi
Palm Oil_Refinery,Apical,Power Plant,Output,electricity,130.194.228,kWh,Product
Palm Oil_Refinery,Apical,KCP,Input,electricity,17.759.300,kWh,Energi
Palm Oil_Refinery,Apical,Power Plant,Input,electricity,33.749.119,kWh,Energi
Palm Oil_Refinery,Apical,WTP,Input,electricity,6.840.411,kWh,Energi
Palm Oil_Refinery,Apical,WTP,Output,Feed Water,207.22,m3,Product
Palm Oil_Refinery,Apical,Power Plant,Input,Feed Water,799.97,m3,BBM
Palm Oil_Refinery,Apical,WTP,Output,Feed Water,1.990.825,m3,Product
Palm Oil_Refinery,Apical,WTP,Input,HCl 32%,0.01,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Kuridine 301,0.00,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Kuridine 310,0.00,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Kuriverter IK 110,17.87,kg,BBM
Palm Oil_Refinery,Apical,WTP,Input,Microbe Lift IND,0.67,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,Microbe Lift SA,0.31,m3,BBM
Palm Oil_Refinery,Apical,WTP,Input,PAC,25.88,kg,BBM
